ID_CLIENTE,FECHA,TIPO DE CREDITO,COOPERATIVA,MONTO,PLAZO,PAGADURIA,ANIO_NACIMIENTO,ESTADO,FECHA DE DESEMBOLSO,EDAD_AL_PRESTAMO,DIAS_HASTA_DESEMBOLSO,MONTO_M,ANIO,MES
1,2019-01-08,REFINANCIACIÓN,BUSINESS,2700000.0,48.0,COLPENSIONES,1961,DESEMBOLSADO,2022-02-21,58.0,,2.7,2019.0,1.0
2,2019-05-29,LIBRE INVERSIÓN,COOPIDESARROLLO,6000000.0,36.0,COLPENSIONES,1939,DESEMBOLSADO,2019-06-11,80.0,13.0,6.0,2019.0,5.0
3,2019-05-30,LIBRE INVERSIÓN,COOPIDESARROLLO,5000000.0,48.0,CAGEN,1944,DESEMBOLSADO,2019-06-25,75.0,26.0,5.0,2019.0,5.0
4,2019-05-30,COMPRA DE CARTERA,CREDIVALORES,24000000.0,120.0,CASUR,1972,DESEMBOLSADO,2019-06-28,47.0,29.0,24.0,2019.0,5.0
5,2019-06-04,COMPRA DE CARTERA,EXCELCREDIT,7560000.0,120.0,CAGEN,1980,DESEMBOLSADO,2019-07-05,39.0,,7.56,2019.0,6.0
6,2019-06-05,LIBRE INVERSIÓN,PRONALCREDIT,3000000.0,36.0,PORVENIR,,DESEMBOLSADO,2019-07-12,,,3.0,2019.0,6.0
7,2019-06-05,LIBRE INVERSIÓN,COOPIDESARROLLO,2000000.0,12.0,SOLDADO PROFESIONAL,1978,DESEMBOLSADO,2019-06-10,41.0,5.0,2.0,2019.0,6.0
8,2019-06-10,COMPRA DE CARTERA,BAYPORT,12380000.0,120.0,COLPENSIONES,1944,NO_DESEMBOLSADO,,75.0,,12.38,2019.0,6.0
9,2019-06-12,LIBRE INVERSIÓN,COOPIDESARROLLO,2400000.0,48.0,CAGEN,1958,DESEMBOLSADO,2019-06-22,61.0,10.0,2.4,2019.0,6.0
10,2019-06-20,LIBRE INVERSIÓN,EXCELCREDIT,4400000.0,120.0,COLPENSIONES,1945,NO_DESEMBOLSADO,,74.0,,4.4,2019.0,6.0
11,2019-06-20,LIBRE INVERSIÓN,BAYPORT,2220345.0,120.0,COLPENSIONES,1952,NO_DESEMBOLSADO,,67.0,,2.220345,2019.0,6.0
12,2019-06-27,LIBRE INVERSIÓN,MISSION,1300000.0,96.0,COLPENSIONES,1939,DESEMBOLSADO,,80.0,,1.3,2019.0,6.0
10,2019-06-27,LIBRE INVERSIÓN,MISSION,3200000.0,96.0,COLPENSIONES,1945,DESEMBOLSADO,,74.0,,3.2,2019.0,6.0
13,2019-06-28,LIBRE INVERSIÓN,MISSION,8500000.0,96.0,COLPENSIONES,1938,DESEMBOLSADO,,81.0,,8.5,2019.0,6.0
14,2019-07-02,LIBRE INVERSIÓN,COOPIDESARROLLO,1500000.0,24.0,SOLDADO PROFESIONAL,1997,NO_DESEMBOLSADO,,,,1.5,2019.0,7.0
8,2019-07-08,COMPRA DE CARTERA,MISSION,8000000.0,96.0,COLPENSIONES,1944,DESEMBOLSADO,2019-07-25,75.0,17.0,8.0,2019.0,7.0
15,2019-07-10,LIBRE INVERSIÓN,MISSION,1500000.0,96.0,COLPENSIONES,1932,DESEMBOLSADO,2019-07-17,87.0,7.0,1.5,2019.0,7.0
16,2019-07-11,COMPRA DE CARTERA,MISSION,14000000.0,96.0,COLPENSIONES,1968,DESEMBOLSADO,2019-08-02,51.0,22.0,14.0,2019.0,7.0
11,2019-07-12,LIBRE INVERSIÓN,MISSION,2000000.0,72.0,COLPENSIONES,1952,DESEMBOLSADO,2019-07-17,67.0,5.0,2.0,2019.0,7.0
17,2019-07-12,LIBRE INVERSIÓN,MISSION,5700000.0,60.0,POLICIA NACIONAL,1991,DESEMBOLSADO,2019-07-19,,7.0,5.7,2019.0,7.0
18,2019-07-16,LIBRE INVERSIÓN,COOPIDESARROLLO,1200000.0,48.0,FIDUPREVISORA,1952,DESEMBOLSADO,2019-07-23,67.0,7.0,1.2,2019.0,7.0
